Company,Position,Location,Tags,Description,URL,Salary_Min,Salary_Max,Date,ID
NMI,Senior Staff Software Engineer,,software; design; system; technical; lead; senior; operational; reliability; engineer; engineering; digital nomad,"NMI is building a mature, product-oriented Reliability Engineering function, and weâre looking for a Staff Software Engineer to play a key role in that evolution. This role sits on the Reliability Engineering team, which focuses on improving the reliability, performance, and operational maturity of critical platform services. The teamâs mission is to move the engineering organization from reactive incident response toward intentional, engineered reliability through strong systems, tooling, and standards. As a Staff Engineer, you will operate beyond a single service or codebase, designing and building reliability frameworks, platform capabilities, and guardrails that improve uptime, observability, and operational confidence. This is a highly hands-on role with strong expectations around technical leadership, ownership, and delivery. Key responsibilities: Design and build reliability-focused frameworks, tooling, and standards that improve platform uptime, performance, and operational confidence. Drive initiatives that move reliability from reactive response to proactive engineering, emphasizing prevention, early detection, and fast recovery. Partner with engineering teams to embed reliability into system design, development practices, and deployment workflows. Establish and evolve observability practices, including metrics, logging, alerting, and dashboards that enable clear operational insight. Identify systemic risks and failure patterns, and lead efforts to address them through automation, architectural improvements, and process refinement. Contribute hands-on to production codebases, internal tools, and platform services with a focus on long-term maintainability. Influence technical direction across teams through design reviews, technical proposals, and clear written communication. Improve operational maturity through better incident practices, post-incident learning, and continuous improvement loops. Mentor engineers by modeling strong ownership, technical judgment, and disciplined delivery. Participate in on-call rotations, with a clear mandate to reduce operational load over time through engineering.Skills and experience:&nbsp;&nbsp; 8+ years of experience building and operating production-grade software systems in complex environments. Strong experiencePlease mention the word **STIMULATING** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-staff-software-engineer-nmi-1129705,,,2026-01-22T17:00:08+00:00,1129705
MissionWired,Senior Software Engineer Data Platform,,software; support; senior; engineer,"Overview: We are looking for an experienced software engineer to own, maintain, and evolve our production data and machine learning platform. This role is responsible for the reliability, architecture, and scalability of the pipelines and systems that power our core data products, which transform millions of data points into unparalleled opportunities â supporting everything from electing Democrats to combating climate change throughout the world. With us, youâll put your skills to use for disruptive innovation that powers social good. Youâll join a product team that is deeply devoted to inclusion, particularly in the following three areas: Process: We create a context in which everyone is empowered to contribute. Machine Learning: We are committed to using the power of data to support important causes. Philanthropy: We empower diverse groups of individuals to participate in giving. With us, youâll put your skills to use for innovation that powers social good. We want your ideasPlease mention the word **DEPENDABLY** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-software-engineer-data-platform-missionwired-1129702,,,2026-01-22T16:00:25+00:00,1129702
Fetch,iOS Software Engineer,United States,ios; software; mobile; engineer; engineering,"What we're building and why we're building it.Â Every month, millions of people use Fetch earning rewards for buying brands they love, and a whole lot more. Whether shopping in the grocery aisle, grabbing a bite at the drive-through or playing a favorite mobile game, Fetch empowers consumers to live rewarded throughout their day. To date, we've delivered more than $1 billion in rewards and earned more than 5 million five-star reviews from happy users.Â It's not just our users who believe in Fetch: with investments from SoftBank, Univision, and Hamilton Lane, and partnerships ranging from challenger brands to Fortune 500 companies, Fetch is reshaping how brands and consumers connect in the marketplace. When you work at Fetch, you play a vital role in a platform that drives brand loyalty and creates lifelong consumers with the power of Fetch points. User and partner success are at the heart of everything we do, and we extend that same commitment to our employees. At Fetch, we value curiosity, adaptability, and the confidence to explore new tools, especially AI, to drive smarter, faster work. You don't need to be an expert, but you should be ready to learn quickly and think critically. We welcome learners who move fast, challenge the status quo, and shape what's next, with us.Â Ranked as one of America's Best Startup Employers by Forbes for two years in a row, Fetch fosters a people-first culture rooted in trust, accountability, and innovation. We encourage our employees to challenge ideas, think bigger, and always bring the fun to Fetch. Fetch is an equal employment opportunity employer.Meet Fetch Engineering: At Fetch, our engineering philosophy emphasizes innovation, adaptability, and informed decision-making. Our engineers thrive in complex environments, making decisions based on critical thinking and data, even in uncertain situations. We value proactive problem-solving and focus on driving impactful results while maintPlease mention the word **REJOICINGLY** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-ios-software-engineer-fetch-1129679,,,2026-01-21T01:00:08+00:00,1129679
Empassion,Senior Full Stack Software Engineer,"New York, NY",software; design; system; frontend; back-end; python; django; full-stack; docker; technical; director; code; web; travel; devops; cloud; leader; strategy; management; lead; senior; operations; analytics; reliability; healthcare; engineer; engineering; digital nomad,"About EmpassionEmpassion is a Management Services Organization (MSO) focused on improving the quality of care and costs on an often neglected âAdvanced illness/ end of lifeâ patient population, representing 4 percent of the Medicare population but 25 percent of its costs. The impact is driven deeper by families who are left with minimal options and decreased time with their loved ones. Empassion enables increased access to tech-enabled proactive care while delivering superior outcomes for patients, their communities, the healthcare system, families, and society.\n\n$155,000 - $175,000 a yearRole OverviewThe Senior Full Stack Software Engineer will report directly to the Director of Technology, a seasoned technology leader with experience delivering high-quality software and managing engineering teams in high-growth environments. This role requires ownership of critical engineering initiatives and driving delivery through both individual contribution and technical leadership / mentorship.You will work closely with a team of Full-Stack Engineers and collaborate with Data &amp; Analytics and Clinical Operations teams to deliver impactful solutions.Remote Work &amp; TravelEmpassion is a remote-first, fully distributed company across the United States, with a strong emphasis on asynchronous communication. While day-to-day work is remote, this role requires travel 3â4 times per year for company-wide and engineering off-sites, focused on strategy alignment, team culture, and complex problem solving.What Success Looks Like- Own design, development, testing, and maintenance of high-impact full-stack features- Become a system expert across our architecture:Vue.js FrontendPython Django / Django REST Framework (DRF) APIsGoogle Cloud Platform (GCP) including GKE, Cloud SQL (PostgreSQL), Cloud Storage, and BigQuery- Advocate for pragmatic engineering and simple, robust architectures- Partner closely with Clinical Operations to understand workflows and translate complex business requirements into scalable technical solutionsWhat You Will Bring- 5+ years of software development experience, with strong Back-End focus- Healthcare industry experience (strongly preferred)- Deep expertise building scalable Back-End Web APIs- Expert-level Python proficiency- Hands-on experience with Django and/or Django REST Framework (DRF)- Solid DevOps fundamentals, including:- CI/CD pipelines- Infrastructure as Code (Terraform)- Docker &amp; Kubernetes- Cloud infrastructure (GCP, Cloud SQL, Cloud Storage)- Strong frontend fundamentals with experience in Vue.js or React- Advanced knowledge of relational databases, including:- PostgreSQL- Schema design- Indexing &amp; query optimization- Experience designing complex state management systems, including state machines and rules engines- Self-starter mentality with a high sense of ownership and agency- Demonstrated accountability for production systems and code quality\nOur Engineering PhilosophyAt Empassion, we believe that the highest form of engineering is achieved in building simple yet robust solutions to solve complex business problems.Our philosophy is guided by five core principlesMaintainability First: We stay closely attuned to industry trends but choose our tools with the discretion that healthcare technology demands. We reach first for battle-tested, well-supported technologies that allow us to deliver business value quickly and ensure reliability for the patients and clinicians that depend on us. Our engineers take pride in solutions that are built to last and simple to maintain.Mindful Innovation: As technical experts, we must lead the charge in uncovering opportunities for innovation and automation across our business. We encourage the use of emergent technologies when they provide a clear, measurable impact for our most pressing business problems. Our engineers are innovators who can justify their choices with expertise and professional wisdom.Extreme Ownership: Our engineers carry a deep sense of personal accountability for everything they ship. We arenât satisfied with just completing the requirements in a ticket; we partner with stakeholders and dive deeply into business problems to ensure we are building the right thing, often identifying gaps in requirements well before they become problems in production. We view thorough documentation and rigorous self-testing of our code as non-negotiable parts of the jobânot for the sake of process, but because we refuse to leave the success of our work to chance.Business-Focused Engineering: We don't measure success by the frequency of releases or the number of tickets closed, but by the outcomes that we drive for our clinicians and patients. We expect every engineer on our team to possess a keen ""business sense""âto understand the why behind a request before diving into the how. It is our responsibility to develop a deep understanding of our stakeholdersâ pain points and proactively propose technical solutions that address them with accuracy.&nbsp;Simplicity over Complexity : We strive to write software that is simple, clear and approachable, allowing new engineers to open pull requests within their first week on the job. We are careful to avoid speculative abstractions, experimental design patterns, and other forms of over-engineering that make our systems difficult to understand, debug, and maintain.Please mention the word **ATTRACTIVE** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-engineer-empassion-1129677,155000,175000,2026-01-21T00:01:17+00:00,1129677
Cribl,Software Engineer Core Platform,United States,software; security; support; developer; test; code; cloud; senior; reliability; engineer; engineering; backend; digital nomad,"Cribl does differently. What does that mean? It means we are a serious company that doesnât take itself too seriously; and weâre looking for people who love to get stuff done, and laugh a bit along the way. Weâre growing rapidly - looking for collaborative, curious, and motivated team members who are passionate about putting customers first. As a remote-first company we believe in empowering our employees to do their best work, wherever they are. As the data engine for IT and Security many of the biggest names in the most demanding industries trust Cribl to solve their most pressing data needs. Ready to do the best work of your career? Join the herd and unlock your opportunity. Why You'll Love This Role Platform Engineering at Cribl is responsible for creating and maintaining the foundational software infrastructure that supports our entire ecosystem of products. This includes scalable systems, shared services, developer tools, and core components that other product teams rely on to build customer-facing features quickly and reliably. As a Software Engineer I on the Core Platform team, youâll join a group of engineers building the backend systems and APIs that ingest, process, and route massive volumes of observability and security data. This is an ideal role for someone early in their career (new grad or entry-level) whoâs excited to learn, ship real features, and grow with mentorship from senior engineers. â¢ You'll work on real distributed backend systems that handle high-volume metrics and telemetry data, not toy problems. â¢ You'll have strong mentorship from senior and staff engineers, with clear expectations for learning and growth. â¢ You'll get exposure to time-series databases, cloud platforms, and CI/CD pipelines, building a foundation in modern platform engineering. â¢ You'll be part of a remote-first team that values curiosity, collaboration, clear communication, and of courseâ¦ goats. As An Active Member Of Our Team, You Will... â¢ Learn and contribute to backend systems and APIs that ingest, process, and route data, implementing well-scoped features and bug fixes with guidance from more senior engineers. â¢ Design, develop, test, and maintain clear, maintainable code in Node.js/TypeScript that delivers the right outcomes for our customers, starting with smaller, well-defined tasks and growing into more complex work over time. â¢ Collaborate with a cross-functional team of engineers, designers, and product managers to understand requirements, ask clarifying questions, and turn feature specifications into implementable stories and code. â¢ Write and extend automated tests (unit, integration, and functional) for the code you ship, following existing test plans and patterns and contributing to new test cases as you gain experience. â¢ Participate in code reviews: both as an author and a reviewer-in-trainingâincorporating feedback to improve code quality, testing, and readability while learning from more experienced teammates. â¢ Help investigate and fix bugs in collaboration with senior engineers, learning how to use logs, metrics, and other observability tools to understand and debug distributed systems. â¢ Support performance and correctness work around time-series data storage and query paths by pairing with teammates and tackling well-bounded tasks that improve reliability and efficiency. â¢ Develop good engineering habits: writing testsPlease mention the word **BENEFICIALLY** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-software-engineer-core-platform-cribl-1129675,,,2026-01-21T00:00:58+00:00,1129675
Fi,Fi Senior Embedded Software Engineer,"Boston, MA OR New York, NY",embedded; software; senior; engineer,"Welcome to Fi. We're a passionate team from Square, Google, TikTok, Peloton, Uber, and more working to transform the human-pet relationship. Our mission? Develop cutting-edge technology to revolutionize what it means to be a pet parent. The pet industry remains firmly stuck in the past and we are here to change that. Fi is leveraging our team's talent and expertise to improve the lives of millions of pets in the U.S. Real-time location tracking, activity, sleep and behavior monitoring â and that's just the beginning. The most exciting aspect of our work? Bridging the communication gap between pets and humans. Imagine a world where everyone knows how their pet feels in real time and how to keep their best friend in good shape. That's the future we're building at Fi. If you're someone who thrives in innovative, collaborative work environments and feels strongly about helping pets live longer, better lives, Fi could be the perfect fit. Join us in our pursuit of the ""impossible,"" or asPlease mention the word **QUIETER** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-fi-senior-embedded-software-engineer-fi-1129667,,,2026-01-20T08:00:32+00:00,1129667
Temporal Technologies,Staff Software Engineer DevProd,United States,software; design; support; developer; reliability; engineer; engineering; digital nomad,"About Us Temporal is an open source programming model that can simplify code, make applications more reliable, and help developers focus on the important things like delivering features faster. We are on a mission to be the reliable foundation of every developer's toolbox, and are building the team that will make that happen. &nbsp; Our values guide us âthey are present in how we show up, make decisions, and work together to make an impact. We're curious, driven, collaborative, genuine and humble. &nbsp; Temporal is growing and we are looking for those who share our values, challenge 'standard' thinking, and want to influence our future. If you have a passion for improving the developer experience, building world-class open-source software and communities, and want to be a part of our amazing team, we'd love to hear from you! Summary We have an opening for a Staff Software Engineer on our Infrastructure Team, with specific focus on Observability - both internal and customer-facing. This is an opportunity to join a mission-critical engineering team that is driving the productivity and reliability of Temporal's developers and core platforms, respectively. We are a passionate team of talented developers who truly care about our mission and enjoy working deeply across the entire Temporal ecosystem to be a force multiplier across the organization. What You'll Do Build: Lead the end-to-end Software Development Lifecycle: goals &amp; requirements solicitation, design &amp; review, implementation, operationalization &amp; deployment, support &amPlease mention the word **CUTE** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-staff-software-engineer-devprod-temporal-technologies-1129660,,,2026-01-20T04:00:18+00:00,1129660
Freshpaint,Senior Software Engineer Data,,software; architect; technical; growth; code; web; manager; ads; strategy; senior; marketing; analytics; sales; reliability; go; health; healthcare; engineer; engineering; e-commerce,"About Freshpaint: Customer data is the fuel that drives all modern businesses. From product analytics, to marketing, to support, to advertising, advanced data analysis in the warehouse, and even sales â customer data is the raw material for each function at a modern business.For highly regulated businesses in healthcare, itâs always been a challenge to harness that customer data and get it to the marketing and analytics tools that require it while following patient privacy lawsâ¦.until now.Something as simple as running ads to get more users is simple for an e-commerce of software company to do. But common web analytics and advertising tools collect sensitive user identifiers and healthcare information automatically. Those same tools are not HIPAA compliant.We provide a layer of data governance to make current web analytics tools HIPAA-compliant. For analytics, our customers can continue getting the insights they need to improve the patient experience. For marketing, Freshpaint safeguards health information while helping our customers promote access to care through popular advertising platforms like Facebook, Google, and others.In short, we help healthcare marketers promote access to care and safeguard patient privacy at the same time. This is an important, complex problem in a massive market (healthcare is 20% of the US GDP).Our customers manage their customer data with:Privacy Platform. We help healthcare providers automate their websiteâs + appâs HIPAA compliance, and safeguard patient data. This is our core product todayFuture additional product lines! Our core product provides a platform that we're building marketing applications on top of.Weâre fully remote. If you strongly value in-person work, Freshpaint is likely not the best fit for you. Even though we donât care where youâre located, we only hire within the US. Many of our team is concentrated in various metro areas like SF or NYC. To balance out our remote-ness, we gather the team 2x times per year for offsites. Weâre backed by leading investors including Y-Combinator, Intel Capital, and angel investors like the Head of Data from Slack, Head of Data at LinkedIn, and more.Who we are:Freshpaint was founded by web analytics veterans who realized how hard it was for highly regulated companies to collect and use customer data in a compliant way. We started as part of Y Combinatorâs S19 cohort and have been focused on enabling healthcare companies collect, safeguard, and activate patient data since.In 2022 the government issued updated guidance around HIPAA, basically making our software a requirement to use for healthcare companies. As a result, we're one of the fastest growing software companies on earth right now.Our team has deep analytics and growth experience, with all of us coming from high-growth companies like Heap, Pendo, Iterable, Quantum Metric, and Retool. If you value lots of freedom and ownership in your work, interfacing with customers, and working on a product with high customer impact, then Freshpaint is your home.About the RoleAt Freshpaint, we believe that strong Engineering teams are built of individuals whoSolve problems, not tickets â Jump into unfamiliar territory and learn what's needed to move the team forwardThink like owners â Focus on delivering measurable business impact rather than completing tasksElevate others â Actively mentor, unblock, and celebrate teammates, knowing the team's wins are your winsWe are looking for a Senior Software Engineer - Data to join one of our Product-oriented teams. As Freshpaint has grown, our Products have become more sophisticated and increasingly leveraged multiple sources of data. Weâre seeking a Software Engineer who has competencies in Data and Data Engineering to help us shape the next generation of Freshpaint Products. We believe thereâs a big opportunity ahead, and this person will contribute to the teamâs success by building new products and by influencing how we incorporate data into our Product offerings.What Youâll DoUse your expertise to build Software Products that rely on dataDeliver business outcomes by either directly owning, or guiding others to build reliable and scalable productsMentor engineers and analysts on best practices for data quality, reliability, testing, monitoring, and documentationPartner closely with analytics, product, and engineering teams to identify data requirements and translate them into robust, scalable solutionsJoin customer calls (both internal teams and external users) to hear firsthand what problems they're solving and what features actually move the needleDesign and refine data models that underpin product functionality while implementing monitoring systems to ensure reliability and performanceCollaborate with our Data Guild to define the organizationâs data strategy influencing decisions on tooling, architecture, and engineering standardsSolve problems side-by-side with team members through a combination of pairing and solo workIf this sounds like you, we would love to chat!What Weâre Looking For5+ years of experience in building Products, either in Software Engineering, Data engineering or a closely related roleStrong customer orientation, with a focus on details that drive product impact and customer valueProven experience building and maintaining production-grade data pipelinesProficiency in application developmentProficiency in SQL and at least one data engineering language (e.g., Python, Scala, or Java)Hands-on experience with large-scale data warehouses, regardless of specific toolingExperience with data visualization and the ability to tell clear, compelling stories with dataHands-on experience with modern data warehouses and data modeling best practicesExperience working with cloud-based data platforms (AWS, GCP, or Azure)Familiarity with orchestration tools, version control, and CI/CD best practicesAbility to work independently, make sound architectural decisions, and thrive in ambiguous environmentsStrong communication skills and comfort collaborating with both technical and non-technical partnersNice to HaveExperience being an early data engineer at a companyExperience with Golang, Typescript, Data Build ToolExperience with tools like Snowflake, Looker, or FivetranExperience with analytics engineering or BI toolingPrior experience helping scale a data platform as the company growsWhy This Role Is ExcitingBuild the foundation for what's next. You'll architect the data systems and strategy that power Freshpaint's future, shaping how the company scales for years to comeSee your impact everywhere. Your work will touch every team and product at Freshpaint, giving you visibility into how engineering decisions drive real business outcomesCode one day, strategize the next. You'll split your time between writing code and making architectural decisions that set technical direction, perfect if you want to keep your hands on the keyboard while influencing the big pictureInterview ProcessAt the start of the call, we will briefly go through a few standard verification steps to ensure weâre speaking to the right person. This helps protect both candidates and our team against AI misuse. If at any point we get the sense we arenât speaking with the right candidate, we reserve the right to end the call early.Recruiter ScreenHiring Manager Call Virtual Onsite with Technical PairingsCEO InterviewOffer!Perks &amp; BenefitsWe take care of our teamâhereâs a peek at what you get when you join:Competitive pay + generous equity (10-year exercise window)Fully remote (U.S. only) with a $150/month coworking stipendHalf-day Fridays, every FridayUnlimited PTOâwith a required 2-week minimumTop-tier health, dental &amp; vision (100% covered for you, 80% for dependents)2 âTreat Yourselfâ days a yearâ$100 and a day off, just becauseGenerous parental leaveEpic offsites twice a year (past trips: Greece, Jackson Hole, Cabo, wine country + more)And moreâcheck out our careers page for the full list.Please mention the word **SUCCESSFULLY** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-software-engineer-data-freshpaint-1129653,,,2026-01-20T00:01:17+00:00,1129653
Circle.so,Senior Full Stack Software Engineer CRM,Remote,software; full-stack; senior; engineer,"About Us Circle is building the worldâs leading all-in-one platform for online communities. We make it possible for creators, coaches, educators, and businesses to bring together their audience with engaging discussions, live streams, events, chat, courses, and payments â all in one place, all under their own brand. Weâre proud to be a fully remote company of around 200 (and growing!) team members from 30+ countries around the world. We seek exceptional individuals around the world, set them up to do the best work of their lives, and in turn, create a meaningful impact in their own lives. We don't track hours, but we do manage for high expectations very closely. We collaborate across time zones, are highly async, and like to document a lot. Twice a year, we bring the whole company together in beautiful places around the world for our company offsites. So far, weâve hosted offsites in Turkey, Portugal, Mexico, Thailand, Colombia, Italy, Ireland, and more, with still more to come! Check out our&nbsp;Careers page for more about working at Circle.About the role We're looking for a Senior Full-stack engineer to join our CRM/Workflow team as we aim to make Circle the top choice for creator/brand-led communities. You'll be working on features related to CRM, member sign-up/authentication, workflow automations and helping our members connect with each other. In this role, you will partake in all stages of the development lifecycle, from initial task definition to final deployment. As a senior engineer, you'll break down large epics into actionable tasks, follow through with development and testing, review PRs, push updates to production, and gradually releasePlease mention the word **GRACEFULLY** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-engineer-crm-circle-so-1129650,,,2026-01-20T00:00:52+00:00,1129650
CLEAR - Corporate,Senior Software Engineer Java,"New York, New York",software; security; code; java; cloud; leader; senior; go; engineer; engineering,"Today, CLEAR is well-known as a leader in digital and biometric identification, reducing friction for our members wherever an ID check is needed. We're looking for an experienced Senior Software Engineer to help us build the next generation of products that will go beyond just ID and enable our members to leverage the power of a networked digital identity. As a Senior Software Engineer at CLEAR, you will participate in the design, implementation, testing, and deployment of applications to build and enhance our platform- one that interconnects dozens of attributes and qualifications while keeping member privacy and security at the core. Level and specific team/role matching will happen at the end of our interview process. A brief highlight of our tech stack: Java / Kafka / Postgres AWS cloud What you'll do: Help own and evolve Salesforce-based systems that are critical to core business operations, including improving reliability, integrations, and supporting the migration toward a member data single source of truth. Advance our capabilities across a wide array of industries and domains and gain hands-on experience with privacy, security, data modeling and architecture Develop and deliver code across the full stack, driving engineering excellence by defining best practices in testing, documentation and observability Partner with product and other stakeholders to uncover requirements, to innovate, and to solve complex problems Have a strong sense of ownership, responsible for architectural decision-making and strive for continuous improvement in technology and processes at CLEAR What you're great at:Please mention the word **IMPARTIAL** and tag RNjguMTAxLjExNy4xNzI= when applying to show you read the job post completely (#RNjguMTAxLjExNy4xNzI=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-software-engineer-java-clear-corporate-1129645,,,2026-01-19T19:00:16+00:00,1129645
